title,descr,price,img-src
Mccombo Grande Doble Hamburguesa Con Queso,"Lleva una hamburguesa con dos carnes de 50gr c/u, dos tajadas de queso cheddar, salsa de tomate, mostaza, cebolla picada y pepinillos, papas grandes y gaseosa grande (21oz) a elección.",$ 26.900,https://images.rappi.com/products/tmp5361280911252664021404063328.png?d=300x300&e=webp&q=10
Mccombo Grande Big Mac,"Elige tu mccombo™ con hamburguesa con dos carnes de res de 50gr c/u, cebolla, pepinillos, lechuga, queso cheddar, pan en el centro y nuestra salsa especial big mac con papas grandes y gaseosa grande a elegir",$ 30.900,https://images.rappi.com/products/tmp573061269670002648711336784.png?d=300x300&e=webp&q=10
Mccombo Grande Doble Cuarto De Libra,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 125gr c/u, pepinillos, cebolla, doble queso cheddar, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",$ 40.900,https://images.rappi.com/products/tmp573062286924396462477573396.png?d=300x300&e=webp&q=10
Mccombo Grande Mcnifica,"Elige tu mccombo™ de hamburguesa con carne de res de 125gr, queso cheddar, lechuga, tomate, cebolla, salsa de tomate, mayonesa y mostaza con papas grandes y gaseosa grande a elegir",$ 33.900,https://images.rappi.com/products/tmp5730630916524471561078514279.png?d=300x300&e=webp&q=10
Mccombo Grande Mcnifica Doble,"Elige tu mccombo™ de hamburguesa con dos carne de res de 125gr c/u, queso cheddar, lechuga, tomate, cebolla, salsa de tomate, mayonesa y mostaza con papas grandes y gaseosa grande a elegir",$ 40.900,https://images.rappi.com/products/tmp5730641216774715964899719942.png?d=300x300&e=webp&q=10
Mccombo Grande Mcbacon,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 50gr c/u, tocineta, queso cheddar, cebolla, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",$ 30.900,https://images.rappi.com/products/tmp573065156010176295569088492.png?d=300x300&e=webp&q=10
Mccombo Grande Triple Hamburguesa Con Queso,"Elige tu mccombo™ de hamburguesa con tres carne de 50gr c/u, doble queso cheddar, cebolla, pepinillos, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",$ 29.900,https://images.rappi.com/products/tmp5730678811479053696257077529.png?d=300x300&e=webp&q=10
Mccombo Grande Chicken Mcnuggets De 10 Piezas,Elige tu mccombo™ de 10 piezas de pollo apanados acompañados de papas grandes y gaseosa grande a elegir,$ 32.900,https://images.rappi.com/products/tmp5730702816858983046076744798.png?d=300x300&e=webp&q=10
Mccombo Grande Chicken Mcnuggets De 20 Piezas,Elige tu mccombo™ de 20 piezas de pollo apanados con papas grandes y gaseosa grande a elegir.,$ 53.900,https://images.rappi.com/products/tmp5730707616940152551941416702.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Legend 1 Pollo,"Elige tu mccombo de hamburguesa con un pollo crispy de 125gr, salsa cbo, cebolla crispy,  tocineta, queso y lechuga con papas grandes y gaseosa grande a elegir.",$ 38.900,https://images.rappi.com/products/tmp573071363509981529848563445.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Legend 2 Pollos,"Elige tu mccombo de hamburguesa con dos pollos crispy de 125gr c/u, salsa cbo, cebolla crispy,  tocineta, queso y lechuga con papas grandes y gaseosa grande a elegir.",$ 43.900,https://images.rappi.com/products/tmp573071878628211248923272360.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Deluxe Spicy,"Elige tu mccombo de hamburguesa con pollo apanado, salsa spicy pepper, lechuga y tomate con papas grandes y gaseosa grande a elegir",$ 34.900,https://images.rappi.com/products/tmp573072388945504429467722110.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Deluxe,"Elige tu mccombo de hamburguesa con pollo apanado, mayonesa, lechuga y tomate con papas grandes y gaseosa grande a elegir",$ 34.900,https://images.rappi.com/products/tmp57307287108094046412501216.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Classic,"Elige tu mccombo de hamburguesa con pollo apanado, mayonesa y pepinillos con papas grandes y gaseosa grande a elegir",$ 31.900,https://images.rappi.com/products/tmp5730733713324708204228108195.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Spicy,"Elige tu mccombo de hamburguesa con pollo apanado, salsa spicy y pepinillos con papas grandes y gaseosa grande a elegir",$ 31.900,https://images.rappi.com/products/tmp573073851498612887877562499.png?d=300x300&e=webp&q=10
Mccombo Grande 2 Piezas De Pollo,Elige tu mccombo™ con 2 piezas de pollo crocante con papas grandes y gaseosa grande a elegir,$ 22.900,https://images.rappi.com/products/tmp573074343068730555212421136.png?d=300x300&e=webp&q=10
Mccombo Grande 3 Piezas De Pollo,Elige tu mccombo™ con 3 piezas de pollo crocante con papas grandes y gaseosa grande a elegir,$ 29.900,https://images.rappi.com/products/tmp573074782438456552654341958.png?d=300x300&e=webp&q=10
Mccombo Grande Medio Pollo,Elige tu mccombo™ con medio pollo crocante con dos papas grandes y una gaseosa grande a elegir,$ 37.900,https://images.rappi.com/products/tmp5730752618372568223261826136.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Completo,Elige tu mccombo™ con pollo completo crocante con tres papas grandes y una gaseosa grande a elegir,$ 64.900,https://images.rappi.com/products/tmp5730757615490629021284292713.png?d=300x300&e=webp&q=10
Mccombo Mediano Big Mac,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 50gr c/u, cebolla, pepinillos, lechuga, queso cheddar, pan en el centro y nuestra salsa especial big mac con papas medianas y gaseosa en vaso 16oz",$ 27.900,https://images.rappi.com/products/tmp573076322120979078395979291.png?d=300x300&e=webp&q=10
Mccombo Mediano Cuarto De Libra,"Elige tu mccombo™ de hamburguesa con carne de res de 125gr, cebolla, pepinillos, queso cheddar, salsa de tomate y mostaza con papas medianas y gaseosa en vaso 16oz",$ 32.900,https://images.rappi.com/products/tmp5730768213133978004166082314.png?d=300x300&e=webp&q=10
Mccombo Mediano Doble Cuarto De Libra,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 125gr c/u, pepinillos, cebolla, doble queso cheddar, salsa de tomate y mostaza con papas medianas y gaseosa en vaso 16oz",$ 37.900,https://images.rappi.com/products/tmp573077342973072432439285626.png?d=300x300&e=webp&q=10
Mccombo Mediano Mcnifica,"Elige tu mccombo™ de hamburguesa con una carne de res de 125gr, queso cheddar, lechuga, tomate, cebolla, salsa de tomate, mayonesa y mostaza con papas medianas y gaseosa en vaso 16oz",$ 30.900,https://images.rappi.com/products/tmp5730778714363991614090543796.png?d=300x300&e=webp&q=10
Mccombo Mediano Mcnifica Doble,"Elige tu mccombo™ de hamburguesa con dos carne de res de 125gr c/u, queso cheddar, lechuga, tomate, cebolla, salsa de tomate, mayonesa y mostaza con papas medianas y gaseosa en vaso 16oz",$ 37.900,https://images.rappi.com/products/tmp5730784216380966474459633645.png?d=300x300&e=webp&q=10
Mccombo Mediano Mcbacon,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 50gr c/u, tocineta, queso cheddar, cebolla, salsa de tomate y mostaza con papas medianas y gaseosa en vaso 16oz",$ 27.900,https://images.rappi.com/products/tmp573078977273047441023366584.png?d=300x300&e=webp&q=10
Mccombo Mediano Triple Hamburguesa Con Queso,"Elige tu mccombo™ de hamburguesa con triple carne de 50gr c/u, doble queso cheddar, cebolla, pepinillos, salsa de tomate y mostaza con papas medianas y gaseosa en vaso 16oz",$ 26.900,https://images.rappi.com/products/tmp5730800111923610079905901387.png?d=300x300&e=webp&q=10
Mccombo Mediano Mcpollo,,$ 26.900,https://images.rappi.com/products/tmp5730812311287229421252124188.png?d=300x300&e=webp&q=10
Mccombo Mediano Chicken Mcnuggets De 10 Piezas,Elige tu mccombo™ de 10 piezas de pollo apanados acompañados de papas medianas y gaseosa en vaso de 16oz.,$ 29.900,https://images.rappi.com/products/tmp5730826913415975882652994557.png?d=300x300&e=webp&q=10
Mccombo Mediano Chicken Mcnuggets De 20 Piezas,Elige tu mccombo™ de 20 piezas de pollo apanados con papas medianas y gaseosa mediana a elegir.,$ 50.900,https://images.rappi.com/products/tmp5730841612994035785622915711.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Mccrispy Legend 1 Pollo,"Elige tu mccombo de hamburguesa con un pollo crispy de 125gr, salsa cbo, cebolla crispy,  tocineta, queso y lechuga con papas medianas y gaseosa mediana a elegir.",$ 35.900,https://images.rappi.com/products/tmp5730860912867598301306903449.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Mccrispy Legend 2 Pollos,"Elige tu mccombo de hamburguesa con dos pollos crispy de 125gr c/u, salsa cbo, cebolla crispy,  tocineta, queso y lechuga con papas medianas y gaseosa mediana a elegir.",$ 40.900,https://images.rappi.com/products/tmp573087647170693642522131196.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Mccrispy Deluxe Spicy,"Elige tu mccombo de hamburguesa con pollo apanado, salsa spicy pepper, lechuga y tomate con papas medianas y gaseosa mediana a elegir",$ 31.900,https://images.rappi.com/products/tmp5730894916120384566785773138.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Mccrispy Deluxe,"Elige tu mccombo de hamburguesa con pollo apanado, mayonesa, lechuga y tomate con papas medianas y gaseosa mediana a elegir",$ 31.900,https://images.rappi.com/products/tmp573091772347637052694741537.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Mccrispy Classic,"Elige tu mccombo de hamburguesa con pollo apanado, mayonesa y pepinillos con papas medianas y gaseosa mediana a elegir",$ 28.900,https://images.rappi.com/products/tmp5730935815638689404881072267.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Mccrispy Spicy,"Elige tu mccombo de hamburguesa con pollo apanado, salsa spicy y pepinillos con papas medianas y gaseosa mediana a elegir",$ 28.900,https://images.rappi.com/products/tmp573095716888843048255662228.png?d=300x300&e=webp&q=10
Mccombo Mediano 2 Piezas De Pollo,Elige tu mccombo\s+tm\s-  de 2 piezas de pollo crocante con papas medianas y gaseosa en vaso de 16oz.,$ 19.900,https://images.rappi.com/products/tmp573097879045667747141762425.png?d=300x300&e=webp&q=10
Mccombo Mediano 3 Piezas De Pollo,Elige tu mccombo™ de 3 piezas de pollo crocante con papas medianas y gaseosa en vaso de 16oz.,$ 26.900,https://images.rappi.com/products/tmp573099537615771396155921202.png?d=300x300&e=webp&q=10
Mccombo Mediano Medio Pollo,Elige tu mccombo™ de medio pollo crocante con dos papas medianas y gaseosa en vaso de 16oz.,$ 32.900,https://images.rappi.com/products/tmp573101516183261042971924084.png?d=300x300&e=webp&q=10
Mccombo Mediano Pollo Completo,Elige tu mccombo™ de pollo completo crocante con tres papas medianas y una gaseosa en vaso de 16oz.,$ 60.900,https://images.rappi.com/products/tmp573103708426537148124837098.png?d=300x300&e=webp&q=10
